Key;Type;Desc;English;Vietnamese [vi]
Item/Recipe_CatfishDeluxe;Text;;Recipe: Catfish deluxe@A recipe that can be cooked in a pot. Makes you run faster.;Công thức: Cá trê đặc biệt@Một công thức có thể nấu trong nồi. Giúp bạn chạy nhanh hơn.
Item/Recipe_CoconutBeat;Text;;Recipe: Coconut beat@A recipe that can be made in a juicer.;Công thức: Sinh tố dừa@Một công thức có thể làm trong máy ép trái cây.
Item/Recipe_CoconutChicken;Text;;Recipe: Coconut chicken@A recipe that can be cooked in a pot.;Công thức: Gà nấu dừa@Một công thức có thể nấu trong nồi.
Item/Recipe_DrumstickWithJam;Text;;Recipe: Drumstick with jam@A recipe that can be cooked in a pot.;Công thức: Đùi gà sốt mứt@Một công thức có thể nấu trong nồi.
Item/Recipe_FishStew;Text;;Recipe: Fish stew@A recipe that can be cooked in a pot.;Công thức: Súp cá@Một công thức có thể nấu trong nồi.
Item/Recipe_FruitCompot;Text;;Recipe: Fruit compot@A recipe that can be cooked in a pot.;Công thức: Mứt trái cây@Một công thức có thể nấu trong nồi.
Item/Recipe_HeadBroth;Text;;Recipe: Head broth@A recipe that can be cooked in a pot.;Công thức: Nước dùng đầu cá@Một công thức có thể nấu trong nồi.
Item/Recipe_HeartyStew;Text;;Recipe: Hearty stew@A recipe that can be cooked in a pot. A mysterious stew that lets you evade death, once.;Công thức: Súp bổ dưỡng@Một công thức có thể nấu trong nồi. Một tô súp bí ẩn cho phép bạn tránh khỏi cái chết, một lần.
Item/Recipe_Mangonana;Text;;Recipe: Mangonana@A recipe that can be made in a juicer.;Công thức: Xoài chuối@Một công thức có thể làm trong máy ép trái cây.
Item/Recipe_MushroomOmelette;Text;;Recipe: Mushroom omelette@A recipe that can be cooked in a pot.;Công thức: Trứng ốp la nấm@Một công thức có thể nấu trong nồi.
Item/Recipe_RedMelon;Text;;Recipe: Red melon@A recipe that can be made in a juicer.;Công thức: Dưa đỏ@Một công thức có thể làm trong máy ép trái cây.
Item/Recipe_RedbeetShot;Text;;Recipe: Redbeet shot@A recipe that can be made in a juicer. Adds some extra hearts to your life.;Công thức: Nước ép củ dền@Một công thức có thể làm trong máy ép trái cây. Thêm chút sinh lực cho cuộc sống.
Item/Recipe_SalmonSalad;Text;;Recipe: Salmon salad@A recipe that can be cooked in a pot. A healthy salad that increases your lung capacity.;Công thức: Salad cá hồi@Một công thức có thể nấu trong nồi. Một món salad lành mạnh giúp tăng dung tích phổi.
Item/Recipe_SharkDinner;Text;;Recipe: Shark dinner@A recipe that can be cooked in a pot.;Công thức: Bữa tối cá mập@Một công thức có thể nấu trong nồi.
Item/Recipe_SilverSmoothie;Text;;Recipe: Silver smoothie@A recipe that can be made in a juicer.;Công thức: Sinh tố bạc@Một công thức có thể làm trong máy ép trái cây.
Item/Recipe_SimpleFishStew;Text;;Recipe: Simple fish stew@A recipe that can be cooked in a pot.;Công thức: Súp cá đơn giản@Một công thức có thể nấu trong nồi.
Item/Recipe_SimpleSmoothie;Text;;Recipe: Simple smoothie@A recipe that can be made in a juicer.;Công thức: Sinh tố đơn giản@Một công thức có thể làm trong máy ép trái cây.
Item/Recipe_SpicyPineberry;Text;;Recipe: Spicy pineberry@A recipe that can be made in a juicer. Makes you swim faster.;Công thức: Dâu dứa cay@Một công thức có thể làm trong máy ép trái cây. Giúp bạn bơi nhanh hơn.
Item/Recipe_SteakWithJam;Text;;Recipe: Steak with jam@A recipe that can be cooked in a pot;Công thức: Bít tết sốt mứt@Một công thức có thể nấu trong nồi
Item/Recipe_StrawberryColada;Text;;Recipe: Strawberry colada@A recipe that can be made in a juicer.;Công thức: Dâu tây colada@Một công thức có thể làm trong máy ép trái cây.
Item/Recipe_Sushi;Text;;Recipe: Sushi@A recipe that can be cooked in a pot;Công thức: Sushi@Một công thức có thể nấu trong nồi
Item/Recipe_VegetableSoup;Text;;Recipe: Vegetable soup@A recipe that can be cooked in a pot.;Công thức: Súp rau củ@Một công thức có thể nấu trong nồi.
Item/RedMelon;Text;;Red melon@A refreshing drink for a hot summer day.;Dưa đỏ@Một loại nước uống mát lạnh cho ngày hè nóng bức.
Item/RedbeetShot;Text;;Redbeet shot@Adds some extra hearts to your life.;Nước ép củ dền@Thêm chút sinh lực cho cuộc sống.
Item/RhinoSharkTrophy;Text;;Rhino shark trophy@Too big to fit on a trophy board.;Chiến lợi phẩm cá mập tê giác@Quá to để treo trên bảng chiến lợi phẩm.
Item/Rope;Text;;Rope@Could be used to tie a knot. Made from palm leaves.;Dây thừng@Có thể dùng để buộc nút. Làm từ lá cọ.
Item/SalmonSalad;Text;;Salmon salad@A healthy sallad that increases your lung capacity.;Salad cá hồi@Một món salad lành mạnh giúp tăng dung tích phổi.
Item/Sand;Text;;Sand@Apparently turns into glass when smelted.;Cát@Có vẻ biến thành thủy tinh khi nung.
Item/Scrap;Text;;Scrap@Some old parts from... something?;Phế liệu@Vài mảnh cũ từ... thứ gì đó?
Item/Screecher;Text;;Screecher;Screecher
Item/ScreecherHead;Text;;Screecher head@To remember it by.;Đầu Screecher@Để tưởng nhớ nó.
Item/ScreecherHead_Caravan;Text;;White screecher head@A subspecies of Screechers.;Đầu Screecher trắng@Một phân loài của Screecher.
Item/SeaVine;Text;;Seaweed@Can be put into a smelter to turn into goo.;Rong biển@Có thể đưa vào lò nung để biến thành chất nhờn.
Item/Seagull;Text;;Seagull;Hải âu
Item/Seed_Banana;Text;;Banana seed@Add water to get a banana plant. Fits in a large crop plot.;Hạt giống chuối@Thêm nước để có cây chuối. Vừa với luống trồng lớn.
Item/Seed_Birch;Text;;Birch seed@Add water to get a birch tree. Fits in a large crop plot.;Hạt giống bạch dương@Thêm nước để có cây bạch dương. Vừa với luống trồng lớn.
Item/Seed_Black;Text;;Black seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống đen@Thêm nước để có một bông hoa. Vừa với luống trồng nhỏ.
Item/Seed_Blue;Text;;Blue seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống xanh dương@Thêm nước để có một bông hoa. Vừa với luống trồng nhỏ.
Item/Seed_Mango;Text;;Mango seed@Add water to get a mango tree. Fits in a large crop plot.;Hạt giống xoài@Thêm nước để có cây xoài. Vừa với luống trồng lớn.
Item/Seed_Palm;Text;;Palm seed@Add water to get a palm tree. Fits in a large crop plot.;Hạt giống cọ@Thêm nước để có cây cọ. Vừa với luống trồng lớn.
Item/Seed_Pine;Text;;Pinecone@Add water to get a pinetree. Fits in a large crop plot.;Nón thông@Thêm nước để có cây thông. Vừa với luống trồng lớn.
Item/Seed_Pineapple;Text;;Pineapple seed@Add water to get a pineapple. Fits in a medium crop plot.;Hạt giống dứa@Thêm nước để có quả dứa. Vừa với luống trồng vừa.
Item/Seed_Red;Text;;Red seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống đỏ@Thêm nước để có một bông hoa. Vừa với luống trồng nhỏ.
Item/Seed_Strawberry;Text;;Strawberry seed@Add water to get a strawberry. Fits in a small crop plot.;Hạt giống dâu tây@Thêm nước để có quả dâu tây. Vừa với luống trồng nhỏ.
Item/Seed_Watermelon;Text;;Watermelon seed@Add water to get a watermelon. Fits in a medium crop plot.;Hạt giống dưa hấu@Thêm nước để có quả dưa hấu. Vừa với luống trồng vừa.
Item/Seed_White;Text;;White seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống trắng@Thêm nước để có một bông hoa. Vừa với luống trồng nhỏ.
Item/Seed_Yellow;Text;;Yellow seed@Add water to get a flower. Fits in a small crop plot.;Hạt giống vàng@Thêm nước để có một bông hoa. Vừa với luống trồng nhỏ.
Item/SharkBait;Text;;Shark bait@Keep the shark busy!;Mồi cá mập@Giữ cho cá mập bận rộn!
Item/SharkDinner;Text;;Shark dinner@Enough food to feed three people. Can you eat it by yourself?;Bữa tối cá mập@Đủ thức ăn cho ba người. Bạn có thể tự ăn hết không?
Item/SharkEater;Text;;Sharkeater@Tier 3. Well, Bruce does not seem to mind.;Sharkeater@Bậc 3. Ồ, Bruce có vẻ không phiền.
Item/SharkHead;Text;;Shark head@Where did the rest of the shark go?;Đầu cá mập@Phần còn lại của con cá mập đi đâu rồi?
Item/SharpCarp;Text;;Sharp Carp@Tier 1. Pointy!;Cá chép nhọn@Bậc 1. Nhọn!
Item/Shear;Text;;Shears@Cuts wool extremely well.;Kéo cắt lông@Cắt lông cừu cực tốt.
Item/Shovel;Text;;Shovel@Useful to obtain dirt.;Xẻng@Hữu ích để lấy đất.
Item/Shovel_Titanium;Text;;Titanium shovel@Sturdier than a normal showel.;Xẻng titan@Chắc chắn hơn xẻng thường.
Item/Sign;Text;;Sign@You can write whatever you wish on this.;Biển hiệu@Bạn có thể viết bất cứ điều gì bạn muốn lên đây.
Item/SilverAlgae;Text;;Silver algae@Has a quite bitter taste.;Tảo bạc@Có vị hơi đắng.
Item/SilverSmoothie;Text;;Silver smoothie@A healthy drink.;Sinh tố bạc@Một thức uống lành mạnh.
Item/SimpleFishStew;Text;;Simple fish stew@Smells fishy but tastes OK.;Súp cá đơn giản@Có mùi tanh nhưng vị ổn.
Item/SimpleSmoothie;Text;;Simple smoothie@A standard smoothie, but delicious.;Sinh tố đơn giản@Một ly sinh tố bình thường nhưng ngon.
Item/Simple_Battery;Text;;Simple Battery@Used to power electrical machines.;Pin đơn giản@Dùng để cấp điện cho máy móc.
Item/Spear_Scrap;Text;;Metal Spear@An even greater device for poking things.;Giáo kim loại@Một công cụ đâm chọc tốt hơn nữa.
Item/Spear_Wood;Text;;Wooden spear@A great device for poking things.;Giáo gỗ@Một công cụ tuyệt vời để đâm chọc.
Item/SpicyPineberry;Text;;Spicy pineberry@Makes you swim faster.;Dâu dứa cay@Giúp bạn bơi nhanh hơn.
Item/SteakWithJam;Text;;Steak with jam@A straight forward meal.;Bít tết sốt mứt@Một bữa ăn đơn giản.
Item/Stone;Text;;Stone@Heavy...;Đá@Nặng...
Item/Strawberry;Text;;Strawberry@A great source for vitamin C.;Dâu tây@Nguồn vitamin C tuyệt vời.
Item/StrawberryColada;Text;;Strawberry colada@Taste like a relaxing day on the beach.;Dâu tây colada@Có vị như một ngày thư giãn trên bãi biển.
Item/Sushi;Text;;Sushi@Where did the rice come from?;Sushi@Cơm này từ đâu ra vậy?
Item/SweepNet;Text;;Sweep net@Useful for catching bugs.;Vợt bắt côn trùng@Hữu ích để bắt côn trùng.
Item/Sword_Titanium;Text;;Titanium sword@The greatest device for poking and cutting things.;Kiếm titan@Công cụ tuyệt nhất để đâm và cắt mọi thứ.
Item/Thatch;Text;;Palm Leaf@Could be useful, maybe for making ropes?;Lá cọ@Có thể hữu ích, có lẽ để làm dây thừng?
Item/Titanium;Text;;Titanium@;Titan@
Item/TitaniumIngot;Text;;Titanium ingot@It's sooo heavy.;Thỏi titan@Nó nặng ơi là nặng.
Item/TitaniumOre;Text;;Titanium ore@Can be smelted into titanium ingot.;Quặng titan@Có thể nung thành thỏi titan.
Item/TitaniumTools;Text;;Titanium tools@;Công cụ titan@
Item/TradeToken;Text;;Trade coin@Used as currency at the trading post.;Đồng xu giao thương@Dùng làm tiền tệ tại trạm giao thương.
Item/TrapSnapper;Text;;Trap Snapper@Tier 2. A toe might go missing if you're not careful.;Trap Snapper@Bậc 2. Ngón chân có thể biến mất nếu bạn không cẩn thận.
Item/TrashCube;Text;;Trash cube@Used as currency at the trading post.;Khối rác nén@Dùng làm tiền tệ tại trạm giao thương.
Item/TrophyBoard_Large;Text;;Large trophy board@You can place your catch on this!;Bảng chiến lợi phẩm lớn@Bạn có thể đặt chiến lợi phẩm của mình lên đây!
Item/TrophyBoard_Medium;Text;;Medium trophy board@You can place your catch on this!;Bảng chiến lợi phẩm vừa@Bạn có thể đặt chiến lợi phẩm của mình lên đây!
Item/TrophyBoard_Small;Text;;Small trophy board@You can place your catch on this!;Bảng chiến lợi phẩm nhỏ@Bạn có thể đặt chiến lợi phẩm của mình lên đây!
Item/Turmeric;Text;;Turmeric@Spice up your food.;Nghệ@Thêm gia vị cho món ăn.
Item/VegetableSoup;Text;;Vegetable soup@A mixture of vegetables to keep you warm.;Súp rau củ@Hỗn hợp rau củ giúp bạn giữ ấm.
Item/VineGoo;Text;;Vine goo@A bit like glue.;Chất nhờn dây leo@Hơi giống keo dán.
Item/Watermelon;Text;;Watermelon@Quenches thirst and soothes hunger.;Dưa hấu@Giải khát và đỡ đói.
Item/Wool;Text;;Wool@Wow... it's sooo soft.;Len@Wow... nó mềm ơi là mềm.
Item/ZiplineTool;Text;;Zipline tool@Equipping it allows you to ride on ziplines.;Dụng cụ zipline@Trang bị nó để có thể đu trên zipline.
Item/ZiplineToolElectric;Text;;Electric zipline tool@Equipping it allows you to ride up or down on ziplines.;Dụng cụ zipline điện@Trang bị nó để có thể đu lên hoặc xuống trên zipline.
LoadMenu/EnteringMenu;Text;;Entering Main Menu;Đang vào Menu chính
LoadMenu/EnteringWorld;Text;;Entering World;Đang vào server
LoadMenu/InitingAssets;Text;;Initializing assets;Đang khởi tạo tài nguyên
LoadMenu/Load;Text;;Loading...;Đang tải...
LoadMenu/LoadingAssets;Text;;Loading assets;Đang tải tài nguyên
LoadMenu/LoadingMenu;Text;;Leaving world;Đang rời server
LoadMenu/LoadingWorld;Text;;Loading world;Đang tải server
LoadMenu/Tip0;Text;;Make sure to anchor your raft before exploring an island!;Hãy nhớ neo bè trước khi khám phá đảo!
LoadMenu/Tip1;Text;;Cooked food is more nutritious!;Thức ăn đã nấu chín bổ dưỡng hơn!
LoadMenu/Tip10;Text;;;""""
LoadMenu/Tip2;Text;;Expand your raft by using the building hammer!;Mở rộng bè của bạn bằng búa xây dựng!
LoadMenu/Tip3;Text;;Blueprints found in the world are automatically added to your research table!;Bản thiết kế tìm thấy trong thế giới sẽ tự động thêm vào bàn nghiên cứu!
LoadMenu/Tip4;Text;;Shark baits are useful when exploring reefs!;Mồi câu cá mập rất hữu ích khi khám phá rạn san hô!
LoadMenu/Tip5;Text;;Sharks wont eat foundation armor!;Cá mập không ăn được giáp nền tảng!
LoadMenu/Tip6;Text;;Make sure to keep your distance from puffer fishes when they explode!;Hãy giữ khoảng cách với cá nóc khi chúng phát nổ!
LoadMenu/Tip7;Text;;Want to play with others? Join our discord server to find new friends!;Muốn chơi cùng người khác? Tham gia discord của chúng tôi để kết bạn mới!
LoadMenu/Tip8;Text;;Sleeping in a bed allows you to skip night time!;Ngủ trên giường giúp bạn bỏ qua ban đêm!
LoadMenu/Tip9;Text;;;""""
Menu/Accept;Text;;Accept;Đồng ý
Menu/AdditionalSound;Text;;Additional sound fx by:;Hiệu ứng âm thanh bổ sung bởi:
Menu/AllowFriends;Text;;Allow friends to join?;Cho phép bạn bè tham gia?
Menu/Apply;Text;;Apply;Áp dụng
Menu/Artist;Text;;Artist;Họa sĩ
Menu/AuthAllowAll;Text;;Everybody can join;Mọi người đều có thể tham gia
Menu/AuthAllowFriends;Text;;Friends can join;Bạn bè có thể tham gia
Menu/AuthAllowNone;Text;;Nobody can join;Không ai được tham gia
Menu/AuthInviteOnly;Text;;Invite Only;Chỉ mời riêng
Menu/Back;Text;;Back;Quay lại
Menu/Block;Text;;Block;Chặn
Menu/Blocked;Text;;Blocked;Đã chặn
Menu/BlockedByHost;Text;;Blocked by the host;Bị chủ phòng chặn
Menu/CommunityManager;Text;;Community Manager;Quản lý cộng đồng
Menu/ConnectFail;Text;;Failed to join world;Không thể tham gia server
Menu/ConnectFail_MissmatchID;Text;;Your game version does not match the hosts game version;Phiên bản trò chơi của bạn không khớp với chủ phòng
Menu/ConnectFail_NotFriendWithHost;Text;;You are not friends with host;Bạn không phải là bạn bè với chủ phòng
Menu/ConnectFail_Password;Text;;Wrong password;Sai mật khẩu
Menu/ConnectTimeout;Text;;Connection timed out;Kết nối hết thời gian chờ
Menu/Connecting;Text;;Connecting;Đang kết nối
Menu/CreateNewWorld;Text;;Create new world;Tạo server mới
Menu/CreateWorldButton;Text;;Create world;Tạo server
Menu/Credits;Text;;Credits;Ghi công
Menu/Credits/;Text;;;""""
Menu/Credits/AccountExecutive;Text;;Account Executive;Account Executive
Menu/Credits/CastingAssistant;Text;;Casting Assistant;Trợ lý tuyển vai
Menu/Credits/CastingDirector;Text;;Casting Director;Đạo diễn tuyển vai
Menu/Credits/DialogueEditor;Text;;Dialogue Editor;Biên tập lời thoại
